,dac0,dac1,ain0,ain1
0,1,1,0.1147519999999993,0.12982399999999927
1,2,2,0.1147519999999993,0.12982399999999927
2,3,3,0.1197759999999981,0.13484799999999808
3,4,4,0.1197759999999981,0.12982399999999927
4,5,5,0.1147519999999993,0.12982399999999927
5,6,6,0.1197759999999981,0.13484799999999808
6,7,7,0.1147519999999993,0.13484799999999808
7,8,8,0.1147519999999993,0.12982399999999927
8,9,9,0.1147519999999993,0.12982399999999927
9,10,10,0.1147519999999993,0.12982399999999927
10,11,11,0.1197759999999981,0.12982399999999927
11,12,12,0.1197759999999981,0.12982399999999927
12,13,13,0.1197759999999981,0.13484799999999808
13,14,14,0.1197759999999981,0.13484799999999808
14,15,15,0.1147519999999993,0.13484799999999808
15,16,16,0.1147519999999993,0.13484799999999808
16,17,17,0.1147519999999993,0.12982399999999927
17,18,18,0.1197759999999981,0.13484799999999808
18,19,19,0.1147519999999993,0.12982399999999927
19,20,20,0.1197759999999981,0.13484799999999808
20,21,21,0.1147519999999993,0.12982399999999927
21,22,22,0.1197759999999981,0.12982399999999927
22,23,23,0.1147519999999993,0.13484799999999808
23,24,24,0.1147519999999993,0.12982399999999927
24,25,25,0.1147519999999993,0.12982399999999927
25,26,26,0.1197759999999981,0.13484799999999808
26,27,27,0.1197759999999981,0.13484799999999808
27,28,28,0.1197759999999981,0.13484799999999808
28,29,29,0.1197759999999981,0.12982399999999927
29,30,30,0.1197759999999981,0.13484799999999808
30,31,31,0.1147519999999993,0.13484799999999808
31,32,32,0.1197759999999981,0.14991999999999805
32,33,33,0.12982399999999927,0.1750399999999992
33,34,34,0.16499199999999803,0.31571199999999955
34,35,35,0.42121599999999937,0.7276799999999994
35,36,36,0.7075839999999989,0.7327039999999982
36,37,37,0.7327039999999982,0.7578239999999994
37,38,38,0.7477759999999982,0.7728959999999994
38,39,39,0.7678719999999988,0.7929919999999981
39,40,40,0.7829439999999988,0.8130879999999987
40,41,41,0.8030399999999993,0.8231359999999981
41,42,42,0.8181119999999993,0.8432319999999986
42,43,43,0.8382079999999981,0.868351999999998
43,44,44,0.8583039999999986,0.8834239999999998
44,45,45,0.8733759999999986,0.8984959999999997
45,46,46,0.8884479999999986,0.9185919999999985
46,47,47,0.9085439999999991,0.9336639999999985
47,48,48,0.9286399999999997,0.953759999999999
48,49,49,0.9437119999999997,0.9738559999999996
49,50,50,0.9638079999999984,0.9939519999999984
50,51,51,0.9788799999999984,1.0090239999999984
51,52,52,0.998975999999999,1.0240959999999983
52,53,53,1.014047999999999,1.044191999999999
53,54,54,1.0341439999999995,1.0592639999999989
54,55,55,1.0492159999999995,1.0793599999999994
55,56,56,1.0693119999999983,1.0994559999999982
56,57,57,1.0894079999999988,1.1195519999999988
57,58,58,1.1095039999999994,1.1346239999999987
58,59,59,1.1245759999999994,1.1496959999999987
59,60,60,1.1446719999999981,1.174815999999998
60,61,61,1.1647679999999987,1.1848639999999993
61,62,62,1.1798399999999987,1.204959999999998
62,63,63,1.1999359999999992,1.2250559999999986
63,64,64,1.2150079999999992,1.2401279999999986
64,65,65,1.2351039999999998,1.2602239999999991
65,66,66,1.2551999999999985,1.275295999999999
66,67,67,1.2702719999999985,1.2953919999999997
67,68,68,1.2853439999999985,1.3104639999999996
68,69,69,1.3004159999999985,1.3305599999999984
69,70,70,1.320511999999999,1.3456319999999984
70,71,71,1.335583999999999,1.365727999999999
71,72,72,1.3556799999999996,1.380799999999999
72,73,73,1.3757759999999983,1.4008959999999995
73,74,74,1.3908479999999983,1.4209919999999983
74,75,75,1.4109439999999989,1.4360639999999982
75,76,76,1.4310399999999994,1.4561599999999988
76,77,77,1.4461119999999994,1.4712319999999988
77,78,78,1.4662079999999982,1.4963519999999981
78,79,79,1.4863039999999987,1.511423999999998
79,80,80,1.5013759999999987,1.526495999999998
80,81,81,1.5214719999999993,1.541567999999998
81,82,82,1.5365439999999992,1.5616639999999986
82,83,83,1.556639999999998,1.5767359999999986
83,84,84,1.571711999999998,1.6018559999999997
84,85,85,1.5918079999999986,1.6169279999999997
85,86,86,1.6119039999999991,1.6319999999999997
86,87,87,1.626975999999999,1.6520959999999985
87,88,88,1.6470719999999996,1.6671679999999984
88,89,89,1.6621439999999996,1.6922879999999996
89,90,90,1.6822399999999984,1.702335999999999
90,91,91,1.6973119999999984,1.7224319999999995
91,92,92,1.7123839999999984,1.7425279999999983
92,93,93,1.732479999999999,1.7626239999999989
93,94,94,1.7525759999999995,1.7776959999999988
94,95,95,1.7726719999999982,1.7927679999999988
95,96,96,1.7927679999999988,1.8128639999999994
96,97,97,1.8028159999999982,1.8279359999999993
97,98,98,1.8229119999999988,1.8480319999999981
98,99,99,1.8430079999999993,1.8681279999999987
99,100,100,1.8580799999999993,1.8882239999999992
100,101,101,1.878175999999998,1.8982719999999986
101,102,102,1.893247999999998,1.923391999999998
102,103,103,1.9133439999999986,1.9334399999999992
103,104,104,1.9334399999999992,1.9535359999999997
104,105,105,1.9434879999999986,1.9736319999999985
105,106,106,1.9686079999999997,1.9887039999999985
106,107,107,1.978655999999999,2.008799999999999
107,108,108,1.9987519999999996,2.023871999999999
108,109,109,2.0188479999999984,2.0489919999999984
109,110,110,2.038943999999999,2.0640639999999983
110,111,111,2.0590399999999995,2.084159999999999
111,112,112,2.0741119999999995,2.099231999999999
112,113,113,2.0942079999999983,2.1193279999999994
113,114,114,2.1092799999999983,2.139423999999998
114,115,115,2.129375999999999,2.154495999999998
115,116,116,2.144447999999999,2.1745919999999987
116,117,117,2.1645439999999994,2.1896639999999987
117,118,118,2.184639999999998,2.2047359999999987
118,119,119,2.2047359999999987,2.2198079999999987
119,120,120,2.2198079999999987,2.244927999999998
120,121,121,2.2348799999999986,2.259999999999998
121,122,122,2.254975999999999,2.275071999999998
122,123,123,2.275071999999998,2.300191999999999
123,124,124,2.290143999999998,2.315263999999999
124,125,125,2.3052159999999997,2.330335999999999
125,126,126,2.330335999999999,2.3504319999999996
126,127,127,2.345407999999999,2.3705279999999984
127,128,128,2.3655039999999996,2.3956479999999996
128,129,129,2.3805759999999996,2.405695999999999
129,130,130,2.4006719999999984,2.420767999999999
130,131,131,2.4157439999999983,2.4408639999999995
131,132,132,2.4308159999999983,2.4609599999999983
132,133,133,2.450911999999999,2.4760319999999982
133,134,134,2.4710079999999994,2.3705279999999984
134,135,135,2.4860799999999994,2.375551999999999
135,136,136,2.5011519999999994,2.435839999999999
136,137,137,2.5262719999999987,2.506175999999998
137,138,138,2.5413439999999987,2.551391999999998
138,139,139,2.5564159999999987,2.5765119999999992
139,140,140,2.5765119999999992,2.596607999999998
140,141,141,2.591583999999999,2.621727999999999
141,142,142,2.6167039999999986,2.641823999999998
142,143,143,2.636799999999999,2.6568959999999997
143,144,144,2.651871999999999,2.6719679999999997
144,145,145,2.666943999999999,2.6920639999999985
145,146,146,2.682015999999999,2.712159999999999
146,147,147,2.7071359999999984,2.727231999999999
147,148,148,2.727231999999999,2.7473279999999995
148,149,149,2.7372799999999984,2.7623999999999995
149,150,150,2.757375999999999,2.7824959999999983
150,151,151,2.7824959999999983,2.802591999999999
151,152,152,2.7925439999999995,2.817663999999999
152,153,153,2.8126399999999983,2.832735999999999
153,154,154,2.832735999999999,2.8528319999999994
154,155,155,2.847807999999999,2.872927999999998
155,156,156,2.8679039999999993,2.887999999999998
156,157,157,2.887999999999998,2.9080959999999987
157,158,158,2.9080959999999987,2.9281919999999992
158,159,159,2.9231679999999987,2.948287999999998
159,160,160,2.9382399999999986,2.963359999999998
160,161,161,2.9533119999999986,2.978431999999998
161,162,162,2.973407999999999,2.9985279999999985
162,163,163,2.988479999999999,3.018623999999999
163,164,164,3.003551999999999,3.0387199999999996
164,165,165,3.0286719999999985,3.0537919999999996
165,166,166,3.048767999999999,3.0688639999999996
166,167,167,3.063839999999999,3.0889599999999984
167,168,168,3.078911999999999,3.109055999999999
168,169,169,3.0990079999999995,3.124127999999999
169,170,170,3.1191039999999983,3.139199999999999
170,171,171,3.1341759999999983,3.154271999999999
171,172,172,3.154271999999999,3.179391999999998
172,173,173,3.0990079999999995,3.194463999999998
173,174,174,3.003551999999999,3.2145599999999988
174,175,175,3.063839999999999,3.2346559999999993
175,176,176,3.1592959999999994,3.254751999999998
176,177,177,3.2145599999999988,3.2647999999999993
177,178,178,3.254751999999998,3.2899199999999986
178,179,179,3.2798719999999992,3.3049919999999986
179,180,180,3.299967999999998,3.325087999999999
180,181,181,3.3200639999999986,3.345183999999998
181,182,182,3.3351359999999985,3.3602559999999997
182,183,183,3.355231999999999,3.3803519999999985
183,184,184,3.3753279999999997,3.3954239999999984
184,185,185,3.3903999999999996,3.415519999999999
185,186,186,3.4054719999999996,3.430591999999999
186,187,187,3.4255679999999984,3.4506879999999995
187,188,188,3.4406399999999984,3.4657599999999995
188,189,189,3.460735999999999,3.4808319999999995
189,190,190,3.475807999999999,3.5009279999999983
190,191,191,3.490879999999999,3.5109759999999994
191,192,192,3.5109759999999994,3.536095999999999
192,193,193,3.531071999999998,3.5511679999999988
193,194,194,3.546143999999998,3.5662399999999987
194,195,195,3.561215999999998,3.591359999999998
195,196,196,3.5813119999999987,3.6114559999999987
196,197,197,3.5963839999999987,3.6265279999999986
197,198,198,3.6164799999999993,3.6415999999999986
198,199,199,3.6315519999999992,3.661695999999999
199,200,200,3.651647999999998,3.681791999999998
200,201,201,3.6717439999999986,3.696863999999998
201,202,202,3.696863999999998,3.711935999999998
202,203,203,3.711935999999998,3.7320319999999985
203,204,204,3.7270079999999997,3.752127999999999
204,205,205,3.752127999999999,3.7722239999999996
205,206,206,3.7621759999999984,3.7872959999999996
206,207,207,3.782271999999999,3.8073919999999983
207,208,208,3.797343999999999,3.827487999999999
208,209,209,3.8174399999999995,3.842559999999999
209,210,210,3.8375359999999983,3.857631999999999
210,211,211,3.8526079999999983,3.872703999999999
211,212,212,3.872703999999999,3.897823999999998
212,213,213,3.882751999999998,3.9078719999999993
213,214,214,3.9028479999999988,3.927967999999998
214,215,215,3.9229439999999993,3.9480639999999987
215,216,216,3.9380159999999993,3.9631359999999987
216,217,217,3.958111999999998,3.9782079999999986
217,218,218,3.9782079999999986,4.003327999999998
218,219,219,3.998303999999999,4.023423999999999
219,220,220,4.013375999999999,4.033471999999998
220,221,221,4.028447999999999,4.0535679999999985
221,222,222,4.048543999999998,4.0686399999999985
222,223,223,4.0686399999999985,4.088735999999999
223,224,224,4.0837119999999985,4.108832
224,225,225,4.103807999999999,4.128927999999998
225,226,226,4.113855999999998,4.143999999999998
226,227,227,4.1389759999999995,4.164095999999999
227,228,228,4.159071999999998,4.1841919999999995
228,229,229,4.174143999999998,4.199263999999999
229,230,230,4.189215999999998,4.214335999999999
230,231,231,4.209311999999999,4.234431999999998
231,232,232,4.224383999999999,4.254527999999999
232,233,233,4.244479999999999,4.269599999999999
233,234,234,4.264575999999998,4.289695999999999
234,235,235,4.284671999999999,4.304767999999999
235,236,236,4.299743999999999,4.324863999999998
236,237,237,4.314815999999999,4.344959999999999
237,238,238,4.339935999999998,4.360031999999999
238,239,239,4.355007999999998,4.380127999999999
239,240,240,4.370079999999998,4.395199999999999
240,241,241,4.395199999999999,4.415295999999998
241,242,242,4.410271999999999,4.430368
242,243,243,4.4203199999999985,4.450463999999998
243,244,244,4.440415999999999,4.465535999999998
244,245,245,4.455487999999999,4.480607999999998
245,246,246,4.465535999999998,4.495679999999998
246,247,247,4.480607999999998,4.510751999999998
247,248,248,4.495679999999998,4.5207999999999995
248,249,249,4.5057279999999995,4.5358719999999995
249,250,250,4.515775999999999,4.545919999999999
250,251,251,4.5207999999999995,4.555967999999998
251,252,252,4.5358719999999995,4.560991999999999
252,253,253,4.545919999999999,4.576063999999999
253,254,254,4.550943999999999,4.581087999999999
254,255,255,4.555967999999998,4.586111999999998
